id_persona,id_establecimiento,id_educacion,fecha_inicio,fecha_termino,estado_participacion,horas_asistidas,promedio_calificacion,certificado_obtenido,fecha_registro
2695,2,1,2024-10-07,2025-10-02,En Curso,276,5.6,False,2026-09-03
2649,5,3,2023-10-01,2025-09-20,En Curso,402,5.6,False,2026-09-03
1066,6,4,2023-12-08,2024-12-02,Completado,470,4.5,True,2026-09-03
373,2,5,2023-03-08,2024-03-02,Completado,458,6.5,True,2026-09-03
2246,10,5,2022-08-12,2024-08-01,En Curso,316,6.4,False,2026-09-03
2660,6,5,2023-03-11,2023-09-07,En Curso,111,6.7,False,2026-09-03
4818,9,1,2021-08-13,2023-08-03,En Curso,640,5.4,False,2026-09-03
2736,3,2,2020-11-14,2021-11-09,En Curso,290,5.7,False,2026-09-03
2778,3,2,2024-07-20,2024-08-19,Abandonado,36,,False,2026-09-03
3582,4,1,2024-06-06,2024-12-03,Completado,236,5.0,True,2026-09-03
4632,6,4,2023-04-30,2024-04-24,Completado,464,5.5,True,2026-09-03
1089,1,5,2020-05-11,2021-05-06,Completado,463,5.3,True,2026-09-03
2079,1,4,2024-11-25,2026-05-19,Completado,700,4.2,True,2026-09-03
4407,2,5,2020-07-16,2021-07-11,En Curso,207,4.6,False,2026-09-03
1999,4,2,2024-09-30,2025-09-25,Completado,477,5.0,True,2026-09-03
2696,2,3,2020-02-20,2021-02-14,En Curso,323,4.8,False,2026-09-03
2774,7,3,2021-03-07,2021-09-03,Completado,237,4.2,True,2026-09-03
4492,4,3,2022-02-02,2024-01-23,En Curso,421,6.0,False,2026-09-03
2149,5,4,2021-10-23,2023-10-13,En Curso,626,6.7,False,2026-09-03
1987,9,3,2023-04-17,2023-10-14,En Curso,117,4.8,False,2026-09-03
4618,7,4,2021-04-26,2021-07-08,Abandonado,37,,False,2026-09-03
1153,5,3,2023-12-28,2024-06-25,Completado,228,6.2,True,2026-09-03
3772,9,5,2021-08-11,2021-09-30,Abandonado,125,,False,2026-09-03
926,5,4,2020-11-11,2022-05-05,Completado,705,6.6,True,2026-09-03
254,2,4,2020-02-14,2021-02-08,Completado,478,4.5,True,2026-09-03
2619,6,4,2023-01-19,2024-01-14,Completado,460,5.8,True,2026-09-03
3573,6,3,2022-04-18,2023-04-13,Completado,470,6.5,True,2026-09-03
1611,4,3,2021-08-16,2023-02-07,Completado,684,5.4,True,2026-09-03
2768,3,2,2021-12-09,2023-06-02,Completado,703,4.9,True,2026-09-03
2552,3,1,2023-03-14,2023-09-10,Completado,238,5.2,True,2026-09-03
1399,3,2,2024-11-23,2025-02-27,Abandonado,379,,False,2026-09-03
1405,3,5,2022-04-16,2023-04-11,Completado,467,5.9,True,2026-09-03
4165,4,3,2023-09-17,2024-09-11,Completado,475,6.7,True,2026-09-03
3007,7,2,2022-07-05,2023-01-01,Completado,238,6.4,True,2026-09-03
2349,9,2,2024-10-02,2026-09-22,Completado,941,6.4,True,2026-09-03
3791,7,5,2023-11-14,2025-11-03,Completado,917,5.9,True,2026-09-03
3669,4,3,2024-07-04,2025-06-29,Completado,474,4.2,True,2026-09-03
2840,2,5,2022-10-21,2023-10-16,Completado,460,5.0,True,2026-09-03
3661,10,1,2020-06-05,2021-03-18,Abandonado,200,,False,2026-09-03
3931,4,3,2024-02-07,2024-06-09,Abandonado,112,,False,2026-09-03
3442,10,1,2023-05-28,2024-05-22,En Curso,216,6.1,False,2026-09-03
3632,2,2,2024-02-29,2024-04-06,Abandonado,57,,False,2026-09-03
782,5,2,2022-11-30,2023-04-14,Abandonado,158,,False,2026-09-03
3438,4,2,2021-08-13,2023-08-03,En Curso,317,4.3,False,2026-09-03
3873,8,4,2021-06-14,2022-01-19,Abandonado,216,,False,2026-09-03
1823,7,3,2024-03-22,2024-09-18,Completado,229,6.7,True,2026-09-03
4080,10,1,2021-08-12,2022-08-07,Completado,461,4.5,True,2026-09-03
2568,7,4,2022-12-17,2023-06-15,Completado,239,5.8,True,2026-09-03
2569,1,4,2022-12-15,2023-06-13,Completado,234,5.0,True,2026-09-03
783,1,5,2021-09-29,2022-03-28,En Curso,147,6.9,False,2026-09-03
2725,2,1,2023-04-15,2025-04-04,Completado,923,6.6,True,2026-09-03
1519,8,5,2023-09-14,2024-09-08,Completado,456,4.9,True,2026-09-03
666,3,5,2020-01-22,2020-07-20,En Curso,105,6.3,False,2026-09-03
2027,8,4,2020-12-10,2021-06-08,En Curso,133,4.9,False,2026-09-03
1737,7,1,2024-11-05,2025-05-04,Completado,234,4.4,True,2026-09-03
3611,7,4,2020-10-12,2021-10-07,Completado,472,4.4,True,2026-09-03
4887,7,3,2022-11-19,2024-05-12,Completado,687,4.6,True,2026-09-03
198,4,4,2022-07-27,2022-08-27,Abandonado,302,,False,2026-09-03
16,6,4,2024-02-11,2025-02-05,Completado,457,6.7,True,2026-09-03
4183,9,3,2024-02-03,2025-01-28,Completado,460,5.5,True,2026-09-03
1267,5,4,2020-03-13,2020-09-14,Abandonado,70,,False,2026-09-03
4814,1,1,2021-09-20,2023-09-10,Completado,942,4.7,True,2026-09-03
311,2,5,2020-06-27,2022-06-17,Completado,942,4.9,True,2026-09-03
4613,1,2,2024-01-30,2025-07-23,Completado,702,6.2,True,2026-09-03
1161,9,4,2021-05-01,2022-04-26,En Curso,302,5.3,False,2026-09-03
1200,8,2,2024-11-08,2025-02-20,Abandonado,205,,False,2026-09-03
3776,3,4,2021-12-07,2022-12-02,En Curso,297,4.5,False,2026-09-03
4204,8,1,2023-09-02,2024-02-29,Completado,230,6.9,True,2026-09-03
937,5,3,2024-07-25,2025-07-20,Completado,471,7.0,True,2026-09-03
187,8,2,2022-06-28,2022-12-20,Abandonado,255,,False,2026-09-03
4900,6,4,2023-06-23,2024-06-17,Completado,467,4.2,True,2026-09-03
3374,9,4,2022-08-28,2023-08-23,Completado,464,4.0,True,2026-09-03
3987,9,5,2021-07-19,2022-07-14,Completado,457,5.2,True,2026-09-03
3811,8,5,2023-09-30,2024-03-28,Completado,233,5.0,True,2026-09-03
3523,10,5,2023-01-18,2023-07-17,Completado,236,5.5,True,2026-09-03
4185,7,2,2024-01-27,2025-07-20,Completado,710,6.4,True,2026-09-03
3297,1,4,2020-04-10,2021-10-02,En Curso,308,6.4,False,2026-09-03
1019,8,5,2022-04-01,2023-03-27,Completado,457,5.0,True,2026-09-03
3841,4,2,2021-08-01,2022-01-28,Completado,229,4.6,True,2026-09-03
3248,10,5,2022-11-10,2023-05-09,Completado,237,5.6,True,2026-09-03
4724,4,3,2023-10-31,2025-10-20,En Curso,669,5.6,False,2026-09-03
299,1,2,2021-03-29,2023-03-19,Completado,931,6.9,True,2026-09-03
785,3,3,2021-12-24,2022-09-21,Abandonado,201,,False,2026-09-03
2720,9,4,2021-01-30,2022-07-24,Completado,688,6.1,True,2026-09-03
2723,8,5,2020-01-27,2021-01-20,Abandonado,112,,False,2026-09-03
894,9,2,2021-05-22,2022-11-13,En Curso,412,6.2,False,2026-09-03
1676,10,3,2024-03-08,2026-02-26,Completado,933,4.1,True,2026-09-03
3538,9,2,2021-02-20,2021-07-12,Abandonado,131,,False,2026-09-03
1062,6,2,2022-12-30,2023-06-28,Completado,232,5.4,True,2026-09-03
29,6,2,2021-07-15,2023-01-06,Completado,708,6.6,True,2026-09-03
2927,10,3,2022-07-06,2023-07-01,En Curso,213,4.1,False,2026-09-03
3492,3,3,2021-01-21,2022-07-15,En Curso,376,6.1,False,2026-09-03
195,4,3,2024-10-01,2026-09-21,En Curso,654,4.8,False,2026-09-03
1758,6,3,2020-12-06,2022-05-21,Abandonado,359,,False,2026-09-03
870,9,3,2023-12-05,2024-11-29,Completado,477,6.1,True,2026-09-03
2502,6,1,2021-12-26,2022-06-24,Completado,235,6.2,True,2026-09-03
2484,6,4,2023-07-18,2024-01-14,Completado,234,6.8,True,2026-09-03
1290,5,5,2022-10-22,2023-10-17,Completado,467,6.8,True,2026-09-03
3815,8,4,2024-10-03,2026-09-23,En Curso,414,6.4,False,2026-09-03
4586,5,1,2021-08-23,2022-02-19,En Curso,119,5.9,False,2026-09-03
1503,2,2,2023-01-14,2024-01-09,Completado,461,4.7,True,2026-09-03
485,2,1,2024-07-30,2025-07-25,Completado,477,4.1,True,2026-09-03
4748,1,2,2022-03-21,2023-09-12,Completado,717,6.1,True,2026-09-03
4653,1,5,2023-05-01,2024-04-25,Completado,459,5.7,True,2026-09-03
327,2,5,2024-11-05,2026-01-03,Abandonado,197,,False,2026-09-03
1736,5,3,2021-01-10,2022-07-04,Completado,693,5.7,True,2026-09-03
3738,7,2,2023-09-05,2025-02-26,Completado,692,5.4,True,2026-09-03
1887,9,4,2022-05-01,2023-10-23,Completado,716,5.9,True,2026-09-03
4316,2,1,2024-03-08,2025-03-03,En Curso,290,5.3,False,2026-09-03
165,5,2,2021-04-03,2021-08-30,Abandonado,186,,False,2026-09-03
1840,1,3,2020-03-22,2021-03-17,Completado,469,5.1,True,2026-09-03
3103,4,3,2023-02-17,2024-02-12,Completado,477,6.7,True,2026-09-03
3745,2,3,2022-08-31,2024-08-20,Completado,927,5.0,True,2026-09-03
4989,1,4,2024-08-22,2026-02-13,Completado,691,4.9,True,2026-09-03
109,6,4,2021-10-18,2022-10-13,Completado,473,5.2,True,2026-09-03
3631,3,3,2023-04-24,2023-10-21,En Curso,77,4.5,False,2026-09-03
896,1,1,2022-02-06,2022-12-26,Abandonado,309,,False,2026-09-03
4935,2,4,2020-12-17,2021-12-12,Completado,463,4.8,True,2026-09-03
460,6,5,2024-02-22,2024-08-20,En Curso,98,4.1,False,2026-09-03
2317,3,1,2022-11-18,2024-11-07,Completado,917,5.4,True,2026-09-03
857,8,2,2020-12-08,2021-12-03,Completado,473,6.4,True,2026-09-03
1917,8,3,2021-09-14,2022-03-13,Completado,234,4.1,True,2026-09-03
4891,8,5,2023-03-17,2025-03-06,Completado,912,4.2,True,2026-09-03
4276,9,1,2022-04-26,2023-10-18,Completado,702,4.9,True,2026-09-03
2146,7,4,2020-05-03,2021-04-28,En Curso,149,6.6,False,2026-09-03
3388,5,3,2024-04-17,2025-10-09,Completado,717,7.0,True,2026-09-03
4480,8,1,2024-11-19,2025-11-14,En Curso,185,6.6,False,2026-09-03
4166,2,4,2022-05-16,2023-05-11,En Curso,183,6.9,False,2026-09-03
2742,2,2,2023-09-05,2024-11-12,Abandonado,196,,False,2026-09-03
850,4,1,2023-04-27,2023-10-16,Abandonado,175,,False,2026-09-03
4657,2,3,2023-06-25,2024-05-16,Abandonado,259,,False,2026-09-03
4275,4,1,2021-12-16,2023-12-06,En Curso,296,6.4,False,2026-09-03
1788,6,3,2022-09-15,2024-03-08,En Curso,296,6.0,False,2026-09-03
938,1,4,2020-07-12,2021-07-07,En Curso,200,5.7,False,2026-09-03
1106,1,2,2024-01-22,2025-01-16,Completado,457,5.0,True,2026-09-03
4737,4,5,2020-06-10,2022-05-31,Completado,956,6.2,True,2026-09-03
2945,8,3,2024-10-03,2026-09-23,Completado,922,5.7,True,2026-09-03
1650,10,5,2023-11-11,2025-05-04,Completado,710,4.7,True,2026-09-03
1846,2,1,2022-03-10,2023-03-05,Completado,459,6.9,True,2026-09-03
3125,7,4,2023-02-25,2024-02-20,Completado,474,4.1,True,2026-09-03
675,4,5,2020-02-21,2021-02-15,Completado,476,6.8,True,2026-09-03
1353,9,5,2020-12-25,2021-06-22,Abandonado,53,,False,2026-09-03
3768,4,2,2020-09-17,2021-03-16,Completado,231,5.8,True,2026-09-03
420,2,5,2020-08-30,2020-11-30,Abandonado,53,,False,2026-09-03
3415,9,2,2021-03-29,2022-09-20,Completado,715,4.3,True,2026-09-03
2459,7,3,2024-06-26,2025-06-21,Completado,464,5.8,True,2026-09-03
2,10,5,2020-04-28,2021-04-23,Completado,474,5.6,True,2026-09-03
2557,3,1,2023-05-05,2024-10-26,Completado,714,4.9,True,2026-09-03
4122,8,2,2021-11-23,2023-11-13,Completado,956,6.1,True,2026-09-03
1707,5,1,2020-03-03,2021-08-25,Completado,719,4.6,True,2026-09-03
1536,3,2,2024-12-19,2026-12-09,Completado,941,4.1,True,2026-09-03
3862,2,5,2023-04-04,2023-10-01,Completado,228,5.5,True,2026-09-03
76,7,3,2022-10-14,2023-04-12,Completado,231,4.7,True,2026-09-03
4031,6,4,2023-04-06,2024-03-31,Completado,456,5.5,True,2026-09-03
2538,3,1,2023-08-15,2025-02-05,Completado,712,5.5,True,2026-09-03
2629,4,1,2022-11-09,2023-05-08,En Curso,136,5.7,False,2026-09-03
439,4,2,2023-05-06,2023-07-21,Abandonado,209,,False,2026-09-03
2226,1,5,2021-05-01,2021-08-22,Abandonado,26,,False,2026-09-03
2041,6,3,2023-03-08,2024-03-02,Completado,464,5.9,True,2026-09-03
3293,9,2,2023-07-10,2025-06-29,En Curso,371,5.6,False,2026-09-03
3972,1,3,2021-11-16,2022-11-11,Completado,472,5.0,True,2026-09-03
2845,7,5,2021-01-16,2022-01-11,Completado,458,4.1,True,2026-09-03
4440,1,5,2021-08-17,2023-02-08,Completado,695,5.9,True,2026-09-03
454,1,4,2024-01-15,2025-01-09,Completado,465,4.3,True,2026-09-03
3583,4,3,2021-09-15,2023-03-09,Completado,718,6.4,True,2026-09-03
3501,7,1,2020-01-06,2020-10-07,Abandonado,225,,False,2026-09-03
2461,3,1,2021-12-27,2022-06-25,Completado,236,4.5,True,2026-09-03
1585,10,1,2021-10-16,2022-04-14,Completado,237,6.6,True,2026-09-03
3171,2,3,2021-10-23,2023-04-16,Completado,704,6.6,True,2026-09-03
7,4,3,2020-11-14,2022-02-15,Abandonado,123,,False,2026-09-03
3968,3,4,2022-06-19,2024-06-08,Completado,917,5.2,True,2026-09-03
1164,10,2,2020-05-01,2021-10-23,Completado,693,5.3,True,2026-09-03
4012,8,3,2021-04-02,2022-09-24,En Curso,281,5.8,False,2026-09-03
1956,3,1,2020-08-23,2021-08-18,En Curso,218,4.7,False,2026-09-03
2597,9,3,2020-03-07,2021-03-02,En Curso,335,5.9,False,2026-09-03
2926,3,1,2020-11-27,2021-11-22,Completado,467,6.0,True,2026-09-03
2359,8,1,2022-11-19,2024-05-12,Completado,691,5.6,True,2026-09-03
4749,7,2,2021-04-06,2023-03-27,Completado,939,6.8,True,2026-09-03
4249,3,2,2020-07-03,2020-12-30,En Curso,136,6.0,False,2026-09-03
2329,4,4,2022-09-04,2023-03-03,Completado,237,5.3,True,2026-09-03
2075,7,1,2022-07-15,2022-10-13,Abandonado,101,,False,2026-09-03
631,2,2,2023-05-15,2025-05-04,En Curso,296,6.5,False,2026-09-03
2376,7,5,2024-07-31,2026-01-22,En Curso,389,7.0,False,2026-09-03
2315,9,5,2021-01-28,2022-01-23,Completado,459,6.6,True,2026-09-03
2485,8,3,2020-11-29,2022-05-23,Completado,691,6.6,True,2026-09-03
2635,5,5,2024-05-29,2025-05-24,En Curso,231,4.4,False,2026-09-03
3249,10,3,2022-04-12,2024-04-01,Completado,929,6.2,True,2026-09-03
3870,3,1,2022-09-15,2023-03-14,Completado,233,6.1,True,2026-09-03
2706,4,4,2022-12-08,2023-12-03,Completado,478,6.9,True,2026-09-03
4371,10,4,2023-11-07,2025-10-27,En Curso,441,5.1,False,2026-09-03
3267,7,2,2024-01-03,2024-07-01,En Curso,158,4.3,False,2026-09-03
3209,4,4,2021-11-17,2023-05-11,En Curso,387,4.7,False,2026-09-03
464,2,5,2022-06-15,2022-12-12,En Curso,154,6.9,False,2026-09-03
3957,5,4,2022-05-30,2022-11-26,Completado,230,4.2,True,2026-09-03
4192,8,1,2024-02-09,2025-02-03,Completado,463,4.4,True,2026-09-03
3015,8,5,2022-08-27,2023-02-23,Completado,234,5.7,True,2026-09-03
4301,8,5,2022-03-05,2023-02-28,Completado,475,6.2,True,2026-09-03
3889,10,2,2023-05-05,2024-04-29,Completado,471,6.0,True,2026-09-03
3867,3,5,2020-12-11,2022-06-04,Completado,718,4.3,True,2026-09-03
1955,1,5,2021-02-21,2022-08-15,Completado,716,5.4,True,2026-09-03
3463,8,2,2020-03-05,2020-06-12,Abandonado,86,,False,2026-09-03
3725,5,5,2020-06-06,2021-11-28,En Curso,458,6.6,False,2026-09-03
1428,4,4,2020-11-26,2022-05-20,Completado,718,5.1,True,2026-09-03
