id_persona,edad,genero,estado_civil,nivel_educativo_ingreso,tiene_hijos,num_hijos,contexto,fecha_registro
1,43,Masculino,Soltero,Primaria,False,0,Penitenciario,2026-09-03
2,36,Masculino,Soltero,Primaria,True,2,Penitenciario,2026-09-03
3,45,Masculino,Divorciado,Secundaria,False,0,Penitenciario,2026-09-03
4,56,Masculino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
5,35,Masculino,Soltero,Sin escolaridad,True,4,Penitenciario,2026-09-03
6,35,Masculino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
7,56,Masculino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
8,47,Femenino,Divorciado,Secundaria,True,1,Penitenciario,2026-09-03
9,32,Masculino,Soltero,Primaria,True,2,Penitenciario,2026-09-03
10,44,Masculino,Viudo,Secundaria,True,2,Penitenciario,2026-09-03
11,32,Masculino,Divorciado,Secundaria,True,2,Penitenciario,2026-09-03
12,32,Femenino,Soltero,Sin escolaridad,False,0,Penitenciario,2026-09-03
13,40,Masculino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
14,18,Femenino,Divorciado,Primaria,True,8,Penitenciario,2026-09-03
15,18,Masculino,Soltero,Primaria,False,0,Penitenciario,2026-09-03
16,31,Masculino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
17,25,Masculino,Soltero,Sin escolaridad,True,3,Penitenciario,2026-09-03
18,41,Masculino,Soltero,Superior,False,0,Penitenciario,2026-09-03
19,27,Femenino,Casado,Secundaria,True,4,Penitenciario,2026-09-03
20,21,Femenino,Soltero,Superior,True,5,Penitenciario,2026-09-03
21,55,Masculino,Soltero,Primaria,True,3,Penitenciario,2026-09-03
22,35,Masculino,Divorciado,Secundaria,True,2,Penitenciario,2026-09-03
23,38,Femenino,Casado,Primaria,True,1,Penitenciario,2026-09-03
24,20,Masculino,Soltero,Secundaria,True,3,Penitenciario,2026-09-03
25,31,Masculino,Casado,Secundaria,True,3,Penitenciario,2026-09-03
26,39,Masculino,Soltero,Primaria,False,0,Penitenciario,2026-09-03
27,24,Masculino,Casado,Técnico,False,0,Penitenciario,2026-09-03
28,42,Masculino,Soltero,Secundaria,True,3,Penitenciario,2026-09-03
29,30,Masculino,Soltero,Sin escolaridad,True,7,Penitenciario,2026-09-03
30,34,Masculino,Casado,Secundaria,False,0,Penitenciario,2026-09-03
31,30,Masculino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
32,60,Masculino,Viudo,Primaria,True,2,Penitenciario,2026-09-03
33,37,Masculino,Soltero,Secundaria,True,5,Penitenciario,2026-09-03
34,25,Femenino,Divorciado,Primaria,True,3,Penitenciario,2026-09-03
35,47,Masculino,Divorciado,Secundaria,True,1,Penitenciario,2026-09-03
36,23,Masculino,Soltero,Secundaria,True,5,Penitenciario,2026-09-03
37,40,Femenino,Casado,Secundaria,True,3,Penitenciario,2026-09-03
38,18,Femenino,Soltero,Secundaria,True,3,Penitenciario,2026-09-03
39,22,Masculino,Divorciado,Primaria,True,4,Penitenciario,2026-09-03
40,40,Masculino,Soltero,Primaria,True,2,Penitenciario,2026-09-03
41,46,Femenino,Casado,Primaria,True,1,Penitenciario,2026-09-03
42,40,Femenino,Soltero,Secundaria,False,0,Penitenciario,2026-09-03
43,36,Femenino,Soltero,Secundaria,True,1,Penitenciario,2026-09-03
44,34,Femenino,Soltero,Técnico,False,0,Penitenciario,2026-09-03
45,20,Masculino,Soltero,Primaria,True,5,Penitenciario,2026-09-03
46,29,Masculino,Casado,Secundaria,False,0,Penitenciario,2026-09-03
47,32,Masculino,Casado,Secundaria,False,0,Penitenciario,2026-09-03
48,50,Masculino,Casado,Secundaria,True,4,Penitenciario,2026-09-03
49,42,Masculino,Soltero,Técnico,True,2,Penitenciario,2026-09-03
50,18,Masculino,Soltero,Primaria,True,1,Penitenciario,2026-09-03
51,41,Masculino,Soltero,Sin escolaridad,True,1,Penitenciario,2026-09-03
52,33,Femenino,Casado,Secundaria,True,2,Penitenciario,2026-09-03
53,29,Masculino,Viudo,Primaria,False,0,Penitenciario,2026-09-03
54,45,Masculino,Soltero,Sin escolaridad,True,1,Penitenciario,2026-09-03
55,50,Masculino,Soltero,Primaria,False,0,Penitenciario,2026-09-03
56,49,Masculino,Soltero,Primaria,False,0,Penitenciario,2026-09-03
57,27,Femenino,Casado,Secundaria,False,0,Penitenciario,2026-09-03
